,Country,2003 Density (P/Km²),2009 Density (P/Km²),2020 Density (P/Km²)
0,Afghanistan,36.272510185951,43.4929586741415,60
1,Albania,110.934890510949,106.843759124088,105
2,Algeria,13.5464647694543,14.8353224953185,18
4,Andorra,155.706382978723,179.708510638298,164
5,Angola,14.5355570706666,18.0591008261811,26
6,Antigua and Barbuda,180.227272727273,197.15,223
7,Argentina,13.9174944915208,14.7926100508278,17
8,Armenia,106.003933965578,101.443343870741,104
10,Australia,2.58977129245148,2.82359449643987,3
11,Austria,98.3461249697263,101.035665641397,109
12,Azerbaijan,99.6237212096794,108.291287895398,123
13,Bahrain,1081.53888888889,1559.31052631579,2239
14,Bangladesh,1035.50436352462,1121.03247292003,1265
15,Barbados,637.974418604651,653.73023255814,668
16,Belarus,48.3002958142287,46.8729168721033,47
17,Belgium,342.672820343461,356.555250990753,383
18,Belize,11.8117053923718,13.7946076282332,17
19,Benin,66.6952376729337,79.325186236254,108
21,Bhutan,15.7748492462312,17.795813119851,20
22,Bolivia,8.22101264654297,9.12469399058433,11
23,Bosnia and Herzegovina,73.47994140625,72.9675390625,64
24,Botswana,3.06036031267094,3.44696416282886,4
25,Brazil,21.7523571033747,23.1973271565205,25
27,Bulgaria,71.4841132665257,68.5744565217391,64
28,Burkina Faso,46.2522697368421,55.3402704678363,76
29,Burundi,269.048052959502,327.01199376947,463
30,Cabo Verde,111.645161290323,120.762034739454,138
31,Cambodia,72.8311975980059,79.8414004078858,95
32,Cameroon,35.5415899811724,41.8648198684183,56
33,Canada,3.4798474956315,3.69812041774848,4
35,Central African Republic,6.23002504093229,6.96270345757488,8
36,Chad,7.44434243964422,9.18054876111817,13
38,Chile,21.3167036978274,22.7107714130507,26
39,China,137.235922173683,141.801240358753,153
40,Colombia,37.3896971608833,40.3335322217215,46
42,Costa Rica,81.5521543282413,88.5377986682334,100
43,Croatia,76.9701126810946,76.933184417441,73
44,Cuba,105.537434210526,105.474530251785,106
45,Cyprus,107.528463203463,118.840151515152,131
46,Denmark,127.046288003771,130.169573415037,137
47,Djibouti,32.7713977566868,35.712812769629,43
48,Dominica,93.4666666666667,94.468,96
49,Dominican Republic,183.198447526392,198.23508590354,225
50,Ecuador,53.8318489289741,59.4879368658399,71
51,El Salvador,289.289430501931,297.185617760618,313
52,Equatorial Guinea,24.48,32.1425668449198,50
53,Eritrea,25.7522079207921,30.890297029703,35
54,Estonia,32.3359282849729,31.4818353385232,31
55,Eswatini,59.4652325581395,61.4806395348837,67
56,Ethiopia,72.170584,85.233913,115
57,Fiji,44.6675424192666,46.7234263820471,49
58,Finland,17.1148560359828,17.5678545574202,18
59,France,113.613134004426,118.174073061316,119
61,Gabon,5.12264912484961,6.08890441262079,9
62,Georgia,69.13705867945,66.7346478183281,57
63,Germany,236.616427281328,234.939637417171,240
64,Ghana,91.1940713720664,106.22721279775,137
66,Greece,84.7794414274632,86.1677036462374,81
68,Grenada,305.897058823529,311.144117647059,331
70,Guatemala,116.652463605823,133.597079134005,167
71,Guinea,35.6222244831516,40.5521284388735,53
72,Guinea-Bissau,45.6367354196302,52.7710170697013,70
73,Guyana,3.78533401066802,3.79841503683007,4
74,Haiti,322.935558780842,355.516908563135,414
75,Honduras,63.5116543033336,72.8463222808115,89
76,Hungary,113.027806293238,110.710814094775,107
77,Iceland,2.88799002493766,3.17704738154613,3
78,India,373.848675664858,409.568919241623,464
79,Indonesia,121.612451630354,131.720310559349,151
80,Iraq,58.6334202162928,66.7092512433229,93
81,Ireland,58.0130788213093,65.8350268544056,72
83,Israel,309.135859519408,345.914972273567,400
84,Italy,194.850081593799,200.908971918134,206
85,Jamaica,250.178855032318,258.156694367498,273
86,Japan,350.39231824417,351.294924554184,347
87,Jordan,61.5823889392566,77.6442892543366,115
88,Kazakhstan,5.52247212653258,5.96096677408601,7
89,Kenya,60.9318954914432,71.8659591664617,94
91,Kuwait,121.303367003367,158.307800224467,240
92,Latvia,36.7862075386837,34.4430524284336,30
93,Lebanon,428.971163245357,470.481524926686,667
95,Liberia,31.946200166113,38.9756333056478,53
96,Libya,3.19432749468611,3.48612932925651,4
97,Liechtenstein,213.59375,223.29375,238
98,Lithuania,54.4864869176771,50.4653530115676,43
99,Luxembourg,185.855967078189,204.848971193416,242
100,Madagascar,29.7127299927778,35.3700811638064,48
101,Malawi,127.282361052185,149.853150190921,203
102,Malaysia,75.1752214274844,84.4164967280475,99
103,Maldives,1008.94333333333,1177.99333333333,1802
104,Mali,9.82035174849818,11.9501298978028,17
105,Malta,1245.56875,1288.990625,1380
107,Mauritania,2.77204618220627,3.29233433588823,5
108,Mauritius,597.71921182266,614.497044334975,626
109,Mexico,53.0265799017464,57.8532817202089,66
110,Moldova,125.853415543247,124.120304939604,123
111,Monaco,16576.5,17613,26337
112,Mongolia,1.58909987383815,1.72107675274853,2
113,Montenegro,45.5217100371747,45.969814126394,47
114,Morocco,66.732879229218,71.5417589065651,83
115,Mozambique,24.5823901930364,29.1140542740151,40
116,Myanmar,73.6739939406922,76.9177514158886,83
117,Namibia,2.28244846894776,2.52771684339662,3
119,Nepal,174.962483432159,187.537739797698,203
120,Netherlands,480.607286729858,490.079691669137,508
122,New Zealand,15.2945197675743,16.340435228438,18
123,Nicaragua,43.9763835798571,47.7441083596477,55
124,Niger,9.98498776347991,12.5074074366464,19
125,Nigeria,144.823205639184,169.444462377988,226
126,North Macedonia,80.7481714510421,82.0396114195083,83
128,Norway,12.4980976971087,13.2205490208493,15
129,Oman,7.70974474959612,9.29300807754443,16
130,Pakistan,198.5955959423,227.69511337692,287
131,Palau,43.0630434782609,39.75,39
132,Panama,43.1671778315846,48.1465563626581,58
133,Papua New Guinea,13.7423861679106,15.7770083469505,20
134,Paraguay,14.1781600805437,15.514653913919,18
135,Peru,21.3845515625,22.49426171875,26
136,Philippines,278.538991179528,309.937813998726,368
137,Poland,124.753689916405,124.564460624265,124
138,Portugal,114.304054644809,115.386472322306,111
140,Qatar,58.7242032730405,142.545219638243,248
141,Romania,93.8218134377039,88.5311962096844,84
142,Rwanda,346.865058775841,396.545196595055,525
143,Samoa,62.7151943462897,65.2141342756184,70
144,San Marino,476.033333333333,513.6,566
145,Saudi Arabia,10.4464592569161,12.3879736148003,16
146,Senegal,54.7523347010855,64.0683737599335,87
147,Serbia,85.5315687171278,83.7046306883147,100
148,Seychelles,179.958695652174,189.778260869565,214
149,Sierra Leone,72.0569409808811,86.9040454419507,111
150,Singapore,5989.5577624262,7125.10428571429,8358
151,Slovenia,99.0929990069513,101.245373452163,103
153,Somalia,15.6460802754487,18.6783753626423,25
154,South Africa,38.5125555399847,41.610277061059,49
155,South Sudan,..,..,18
156,Spain,84.5088139260031,92.9750651746681,94
157,Sri Lanka,306.554568649338,320.897911018976,341
158,Sudan,..,..,25
159,Suriname,3.12783333333333,3.35327564102564,4
160,Sweden,21.8312350733538,22.6605132329288,25
161,Switzerland,185.698763155121,195.966970559419,219
163,Tanzania,41.0225581395349,48.6270422217205,67
164,Thailand,126.347875276478,130.883045273934,137
165,Timor-Leste,63.6925353059852,72.2445864156019,89
166,Togo,98.0077036219893,114.926181283324,152
168,Trinidad and Tobago,250.206432748538,257.491228070175,273
169,Tunisia,64.014398815654,67.7503475798146,76
170,Turkey,85.8716552109455,92.669723113704,110
173,Uganda,130.026284970722,157.204824583354,229
174,Ukraine,82.5300341768219,79.495442933094,75
175,United Arab Emirates,52.2660095747677,111.480878625739,118
