,Year,Density,Country_ID
0,2003,36.272510185951,123
1,2009,43.4929586741415,123
2,2020,60,123
3,2003,110.934890510949,124
4,2009,106.843759124088,124
5,2020,105,124
6,2003,13.5464647694543,86
7,2009,14.8353224953185,86
8,2020,18,86
9,2003,155.706382978723,125
10,2009,179.708510638298,125
11,2020,164,125
12,2003,14.5355570706666,126
13,2009,18.0591008261811,126
14,2020,26,126
15,2003,180.227272727273,87
16,2009,197.15,87
17,2020,223,87
18,2003,13.9174944915208,35
19,2009,14.7926100508278,35
20,2020,17,35
21,2003,106.003933965578,127
22,2009,101.443343870741,127
23,2020,104,127
24,2003,2.58977129245148,15
25,2009,2.82359449643987,15
26,2020,3,15
27,2003,98.3461249697263,36
28,2009,101.035665641397,36
29,2020,109,36
30,2003,99.6237212096794,128
31,2009,108.291287895398,128
32,2020,123,128
33,2003,1081.53888888889,37
34,2009,1559.31052631579,37
35,2020,2239,37
36,2003,1035.50436352462,88
37,2009,1121.03247292003,88
38,2020,1265,88
39,2003,637.974418604651,62
40,2009,653.73023255814,62
41,2020,668,62
42,2003,48.3002958142287,129
43,2009,46.8729168721033,129
44,2020,47,129
45,2003,342.672820343461,16
46,2009,356.555250990753,16
47,2020,383,16
48,2003,11.8117053923718,130
49,2009,13.7946076282332,130
50,2020,17,130
51,2003,66.6952376729337,131
52,2009,79.325186236254,131
53,2020,108,131
54,2003,15.7748492462312,132
55,2009,17.795813119851,132
56,2020,20,132
57,2003,8.22101264654297,63
58,2009,9.12469399058433,63
59,2020,11,63
60,2003,73.47994140625,133
61,2009,72.9675390625,133
62,2020,64,133
63,2003,3.06036031267094,134
64,2009,3.44696416282886,134
65,2020,4,134
66,2003,21.7523571033747,18
67,2009,23.1973271565205,18
68,2020,25,18
69,2003,71.4841132665257,28
70,2009,68.5744565217391,28
71,2020,64,28
72,2003,46.2522697368421,136
73,2009,55.3402704678363,136
74,2020,76,136
75,2003,269.048052959502,138
76,2009,327.01199376947,138
77,2020,463,138
78,2003,111.645161290323,139
79,2009,120.762034739454,139
80,2020,138,139
81,2003,72.8311975980059,90
82,2009,79.8414004078858,90
83,2020,95,90
84,2003,35.5415899811724,140
85,2009,41.8648198684183,140
86,2020,56,140
87,2003,3.4798474956315,0
88,2009,3.69812041774848,0
89,2020,4,0
90,2003,6.23002504093229,141
91,2009,6.96270345757488,141
92,2020,8,141
93,2003,7.44434243964422,142
94,2009,9.18054876111817,142
95,2020,13,142
96,2003,21.3167036978274,38
97,2009,22.7107714130507,38
98,2020,26,38
99,2003,137.235922173683,1
100,2009,141.801240358753,1
101,2020,153,1
102,2003,37.3896971608833,32
103,2009,40.3335322217215,32
104,2020,46,32
105,2003,81.5521543282413,39
