Week,Country,Cases,Deaths
1,Canada,62,15
1,China,1226,36
1,France,1,0
1,Germany,12,0
1,Ireland,3,0
1,Italy,5,0
1,Singapore,256,0
1,Slovenia,5,0
1,Spain,5,0
1,Switzerland,25,0
1,Taiwan,28,0
1,Thailand,17,0
1,United Kingdom,11,0
1,United States,94,0
1,Vietnam,398,14
2,Australia,1,0
2,Belgium,1,0
2,Canada,221,23
2,China,7901,280
2,France,7,0
2,Germany,30,0
2,Ireland,13,0
2,Italy,16,0
2,Romania,15,0
2,Singapore,579,12
2,Switzerland,17,0
2,Taiwan,61,0
2,Thailand,28,3
2,United Kingdom,21,0
2,United States,362,0
2,Vietnam,406,28
3,Australia,6,0
3,Belgium,4,0
3,Brazil,6,0
3,Canada,538,55
3,China,14431,494
3,France,21,0
3,Germany,35,0
3,Ireland,8,0
3,Italy,21,0
3,Malaysia,4,4
3,Romania,9,0
3,Singapore,731,42
3,Spain,6,0
3,Switzerland,10,0
3,Taiwan,118,0
3,Thailand,49,14
3,United Kingdom,28,0
3,United States,810,0
3,Vietnam,421,28
4,Australia,3,0
4,Brazil,14,0
4,Canada,725,81
4,China,17847,758
4,France,34,0
4,Germany,42,0
4,India,1,0
4,Indonesia,4,0
4,Ireland,7,0
4,Italy,21,0
4,Japan,12,0
4,Kuwait,7,0
4,Malaysia,29,7
4,Mongolia,3,0
4,Philippines,4,0
4,Romania,7,0
4,Singapore,1055,80
4,South Africa,6,0
4,Spain,7,0
4,Sweden,4,0
4,Switzerland,7,0
4,Taiwan,163,0
4,Thailand,54,14
4,United Kingdom,40,0
4,United States,1245,0
4,Vietnam,376,28
5,Australia,16,0
5,Brazil,14,0
5,Bulgaria,2,0
5,Canada,955,92
5,China,24320,1323
5,France,35,0
5,Germany,46,0
5,India,7,0
5,Indonesia,7,0
5,Ireland,7,0
5,Italy,23,0
5,Japan,21,0
5,Kuwait,7,0
5,Malaysia,37,10
5,Mongolia,21,0
5,Philippines,12,5
5,Romania,7,0
5,Singapore,1294,119
5,South Africa,7,0
5,Spain,7,0
5,Sweden,21,0
5,Switzerland,7,0
5,Taiwan,231,0
5,Thailand,51,14
5,United Kingdom,42,0
5,United States,632,0
5,Vietnam,441,35
6,Brazil,14,0
6,Bulgaria,7,0
6,Canada,1023,140
6,China,34919,2178
6,France,35,0
6,Germany,49,0
6,India,3,0
6,Indonesia,11,0
6,Ireland,7,0
