Series Name,Series Code,Country Name,Country Code,2003 [YR2003],2009 [YR2009],2018 [YR2018]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,36.272510185951,43.4929586741415,56.937760009803
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,110.934890510949,106.843759124088,104.612262773723
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,13.5464647694543,14.8353224953185,17.7300750711665
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,297.52,283.415,277.325
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,155.706382978723,179.708510638298,163.842553191489
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,14.5355570706666,18.0591008261811,24.7130520574316
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,180.227272727273,197.15,218.831818181818
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,13.9174944915208,14.7926100508278,16.2585100979651
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,106.003933965578,101.443343870741,103.680224798033
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,538.983333333333,563.638888888889,588.027777777778
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,2.58977129245148,2.82359449643987,3.24912948744283
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,98.3461249697263,101.035665641397,107.206926667578
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,99.6237212096794,108.291287895398,120.265319946776
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,31.2816183816184,34.9254745254745,38.5254745254745
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,1081.53888888889,1559.31052631579,2017.27369979138
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,1035.50436352462,1121.03247292003,1239.57931166936
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,637.974418604651,653.73023255814,666.606976744186
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,48.3002958142287,46.8729168721033,46.7287999040892
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,342.672820343461,356.555250990753,377.214927344782
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,11.8117053923718,13.7946076282332,16.7939938623411
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,66.6952376729337,79.325186236254,101.853919829727
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1172.68516447482,1215.48146001531,1184.59257167194
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,15.7748492462312,17.795813119851,19.7775277714448
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,8.22101264654297,9.12469399058433,10.4801458506416
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,73.47994140625,72.9675390625,64.92048828125
